,price,minimum_nights,longitude,latitude,price_per_minimum_night,neighbourhood,neighbourhood_group,room_type
112,140,7,-73.98192,40.7288,20.0,East Village,Manhattan,Entire home/apt
113,120,30,-73.98912,40.66853,4.0,South Slope,Brooklyn,Entire home/apt
114,350,2,-73.98157,40.7254,175.0,East Village,Manhattan,Entire home/apt
115,199,5,-73.98009,40.74294,39.8,Kips Bay,Manhattan,Entire home/apt
116,325,3,-73.95748,40.71942,108.33333333333333,Williamsburg,Brooklyn,Entire home/apt
117,235,6,-73.97637,40.77823,39.166666666666664,Upper West Side,Manhattan,Entire home/apt
118,225,1,-73.97965,40.72555,225.0,East Village,Manhattan,Entire home/apt
119,99,2,-73.98604,40.66831,49.5,South Slope,Brooklyn,Private room
120,170,2,-73.94919,40.82754,85.0,Harlem,Manhattan,Entire home/apt
121,400,2,-73.97925,40.66499,200.0,South Slope,Brooklyn,Entire home/apt
122,170,7,-73.97556,40.77842,24.285714285714285,Upper West Side,Manhattan,Entire home/apt
124,75,2,-73.96053,40.65593,37.5,Prospect-Lefferts Gardens,Brooklyn,Private room
125,90,1,-73.96468,40.71923,90.0,Williamsburg,Brooklyn,Private room
126,150,5,-73.94822,40.778,30.0,Upper East Side,Manhattan,Entire home/apt
127,85,15,-73.93128,40.85879,5.666666666666667,Washington Heights,Manhattan,Private room
128,70,3,-73.9547,40.68332,23.333333333333332,Bedford-Stuyvesant,Brooklyn,Private room
129,120,3,-73.94894,40.81618,40.0,Harlem,Manhattan,Entire home/apt
130,89,3,-73.96351,40.68414,29.666666666666668,Clinton Hill,Brooklyn,Private room
131,185,5,-73.99143,40.72392,37.0,East Village,Manhattan,Entire home/apt
133,105,3,-73.98856,40.71341,35.0,Lower East Side,Manhattan,Entire home/apt
134,130,2,-73.98399,40.76754,65.0,Hell's Kitchen,Manhattan,Private room
135,115,29,-74.00303,40.73442,3.9655172413793105,West Village,Manhattan,Entire home/apt
136,77,2,-73.93248,40.63188,38.5,Flatlands,Brooklyn,Private room
137,76,2,-73.9634,40.6873,38.0,Clinton Hill,Brooklyn,Private room
138,125,3,-73.93662,40.68296,41.666666666666664,Bedford-Stuyvesant,Brooklyn,Entire home/apt
139,135,4,-73.96765,40.6863,33.75,Clinton Hill,Brooklyn,Private room
140,250,29,-73.95348,40.73409,8.620689655172415,Greenpoint,Brooklyn,Entire home/apt
141,199,3,-73.94835,40.71561,66.33333333333333,Williamsburg,Brooklyn,Entire home/apt
143,140,2,-73.83168,40.74028,70.0,Flushing,Queens,Private room
144,115,3,-73.93524,40.68281,38.333333333333336,Bedford-Stuyvesant,Brooklyn,Entire home/apt
145,160,3,-73.93938,40.71596,53.333333333333336,Williamsburg,Brooklyn,Entire home/apt
146,195,4,-73.95935,40.71492,48.75,Williamsburg,Brooklyn,Entire home/apt
147,195,3,-73.98295,40.72354,65.0,East Village,Manhattan,Entire home/apt
148,80,3,-73.96087,40.71165,26.666666666666668,Williamsburg,Brooklyn,Private room
149,44,8,-73.97312,40.69101,5.5,Fort Greene,Brooklyn,Private room
150,156,4,-74.00101,40.73474,39.0,West Village,Manhattan,Private room
151,85,15,-73.96641,40.67386,5.666666666666667,Prospect Heights,Brooklyn,Private room
152,125,3,-73.96057,40.71536,41.666666666666664,Williamsburg,Brooklyn,Private room
153,115,15,-73.96595,40.6741,7.666666666666667,Prospect Heights,Brooklyn,Entire home/apt
154,69,2,-73.93997,40.79295,34.5,East Harlem,Manhattan,Private room
155,225,45,-74.00401,40.73226,5.0,West Village,Manhattan,Entire home/apt
156,125,6,-73.96398,40.71363,20.833333333333332,Williamsburg,Brooklyn,Entire home/apt
157,219,4,-73.9527,40.77711,54.75,Upper East Side,Manhattan,Entire home/apt
158,475,3,-73.98094,40.68559,158.33333333333334,Boerum Hill,Brooklyn,Entire home/apt
159,99,1,-73.95323,40.77456,99.0,Upper East Side,Manhattan,Entire home/apt
160,69,4,-73.95055,40.71088,17.25,Williamsburg,Brooklyn,Private room
161,79,30,-73.92313,40.74559,2.6333333333333333,Sunnyside,Queens,Private room
162,135,2,-73.94659,40.68306,67.5,Bedford-Stuyvesant,Brooklyn,Entire home/apt
163,250,3,-73.98571,40.70207,83.33333333333333,DUMBO,Brooklyn,Private room
164,250,3,-73.9642,40.76123,83.33333333333333,Upper East Side,Manhattan,Entire home/apt
167,70,2,-73.96408,40.68843,35.0,Clinton Hill,Brooklyn,Private room
168,165,2,-74.00135,40.6783,82.5,Carroll Gardens,Brooklyn,Entire home/apt
169,70,2,-74.08088,40.64524,35.0,St. George,Staten Island,Private room
170,50,2,-73.91765,40.70641,25.0,Bushwick,Brooklyn,Private room
171,40,1,-73.93184,40.83232,40.0,Highbridge,Bronx,Private room
172,150,2,-73.9677,40.71045,75.0,Williamsburg,Brooklyn,Entire home/apt
173,125,1,-73.98034,40.72518,125.0,East Village,Manhattan,Private room
175,110,2,-73.97113,40.69098,55.0,Fort Greene,Brooklyn,Private room
176,170,3,-74.00405,40.73756,56.666666666666664,West Village,Manhattan,Entire home/apt
177,165,3,-73.94791,40.81526,55.0,Harlem,Manhattan,Entire home/apt
178,150,26,-74.0046,40.73423,5.769230769230769,West Village,Manhattan,Entire home/apt
181,350,8,-73.89797,40.70382,43.75,Ridgewood,Queens,Entire home/apt
182,99,4,-73.95924,40.80549,24.75,Morningside Heights,Manhattan,Private room
183,200,4,-73.9587,40.71627,50.0,Williamsburg,Brooklyn,Entire home/apt
184,150,5,-73.97863,40.67994,30.0,Park Slope,Brooklyn,Entire home/apt
185,90,3,-73.9475,40.67992,30.0,Bedford-Stuyvesant,Brooklyn,Private room
186,120,3,-73.97307,40.67868,40.0,Prospect Heights,Brooklyn,Private room
187,75,3,-73.95334,40.76834,25.0,Upper East Side,Manhattan,Private room
188,175,26,-73.9415,40.68237,6.730769230769231,Bedford-Stuyvesant,Brooklyn,Entire home/apt
190,275,1,-73.99665,40.76307,275.0,Hell's Kitchen,Manhattan,Entire home/apt
191,299,2,-73.98852,40.71882,149.5,Lower East Side,Manhattan,Entire home/apt
192,135,5,-73.98804,40.6693,27.0,South Slope,Brooklyn,Entire home/apt
194,83,1,-73.99201,40.72319,83.0,Lower East Side,Manhattan,Private room
195,123,1,-73.99671,40.74859,123.0,Chelsea,Manhattan,Private room
196,55,2,-73.76597,40.67252,27.5,Jamaica,Queens,Private room
199,98,30,-73.87856,40.71722,3.2666666666666666,Middle Village,Queens,Entire home/apt
200,140,7,-73.89816,40.70234,20.0,Ridgewood,Queens,Private room
201,265,7,-73.87854,40.71546,37.857142857142854,Middle Village,Queens,Entire home/apt
202,249,2,-73.95976,40.7195,124.5,Williamsburg,Brooklyn,Entire home/apt
203,105,6,-73.98474,40.76548,17.5,Hell's Kitchen,Manhattan,Shared room
205,100,2,-73.97262,40.6787,50.0,Prospect Heights,Brooklyn,Private room
206,121,1,-73.94598,40.81035,121.0,Harlem,Manhattan,Entire home/apt
207,45,1,-73.93058,40.83075,45.0,Highbridge,Bronx,Private room
208,100,5,-73.94275,40.79958,20.0,East Harlem,Manhattan,Private room
209,140,2,-73.93845,40.71625,70.0,Williamsburg,Brooklyn,Entire home/apt
210,71,2,-73.93549,40.6829,35.5,Bedford-Stuyvesant,Brooklyn,Private room
211,130,2,-73.99134,40.72773,65.0,NoHo,Manhattan,Private room
212,199,5,-74.0049,40.72861,39.8,West Village,Manhattan,Entire home/apt
213,69,4,-73.95162,40.70979,17.25,Williamsburg,Brooklyn,Private room
215,130,1,-73.98432,40.72752,130.0,East Village,Manhattan,Entire home/apt
216,195,2,-73.95829,40.729,97.5,Greenpoint,Brooklyn,Entire home/apt
217,64,1,-73.94499,40.81219,64.0,Harlem,Manhattan,Private room
218,140,2,-73.90502,40.77185,70.0,Ditmars Steinway,Queens,Entire home/apt
219,159,2,-73.99386,40.68926,79.5,Cobble Hill,Brooklyn,Entire home/apt
221,250,3,-73.98508,40.7672,83.33333333333333,Hell's Kitchen,Manhattan,Entire home/apt
222,239,3,-73.99053,40.73012,79.66666666666667,East Village,Manhattan,Entire home/apt
223,305,2,-73.98498,40.7403,152.5,Flatiron District,Manhattan,Entire home/apt
224,155,3,-73.94343,40.80931,51.666666666666664,Harlem,Manhattan,Entire home/apt
225,60,1,-73.94287,40.8251,60.0,Harlem,Manhattan,Private room
226,135,2,-73.98397,40.6585,67.5,Windsor Terrace,Brooklyn,Private room
227,120,7,-73.9501,40.76193,17.142857142857142,Roosevelt Island,Manhattan,Private room
228,150,3,-73.98589,40.72052,50.0,Lower East Side,Manhattan,Entire home/apt
229,140,14,-73.89934,40.70411,10.0,Ridgewood,Queens,Entire home/apt
230,135,2,-73.95967,40.73401,67.5,Greenpoint,Brooklyn,Entire home/apt
231,250,4,-73.99503,40.71756,62.5,Chinatown,Manhattan,Entire home/apt
233,500,4,-74.00262,40.72003,125.0,SoHo,Manhattan,Entire home/apt
234,225,5,-73.99474,40.73194,45.0,Greenwich Village,Manhattan,Entire home/apt
235,125,28,-73.94573,40.79163,4.464285714285714,East Harlem,Manhattan,Entire home/apt
236,92,1,-73.94434,40.8118,92.0,Harlem,Manhattan,Private room
237,175,2,-73.94707,40.81583,87.5,Harlem,Manhattan,Private room
238,99,2,-73.98049,40.72654,49.5,East Village,Manhattan,Entire home/apt
240,140,3,-73.93936,40.80942,46.666666666666664,East Harlem,Manhattan,Entire home/apt
242,500,2,-74.00027,40.74358,250.0,Chelsea,Manhattan,Entire home/apt
244,120,4,-73.9908,40.71445,30.0,Chinatown,Manhattan,Private room
246,65,3,-73.9503,40.64446,21.666666666666668,East Flatbush,Brooklyn,Entire home/apt
247,130,50,-73.99079,40.7268,2.6,East Village,Manhattan,Entire home/apt
248,99,3,-73.9171,40.688,33.0,Bushwick,Brooklyn,Entire home/apt
249,36,2,-74.08537,40.63536,18.0,Tompkinsville,Staten Island,Private room
251,37,2,-74.08546,40.63518,18.5,Tompkinsville,Staten Island,Private room
252,175,3,-73.98161,40.72477,58.333333333333336,East Village,Manhattan,Entire home/apt
253,205,9,-73.99567,40.74238,22.77777777777778,Chelsea,Manhattan,Entire home/apt
254,285,3,-73.95511,40.72945,95.0,Greenpoint,Brooklyn,Entire home/apt
255,59,2,-73.95177,40.70763,29.5,Williamsburg,Brooklyn,Private room
256,36,2,-74.08519,40.63481,18.0,Tompkinsville,Staten Island,Private room
257,99,5,-73.91433,40.75384,19.8,Astoria,Queens,Entire home/apt
258,39,1,-73.97426,40.64106,39.0,Kensington,Brooklyn,Private room
261,105,2,-73.83572,40.88057,52.5,Eastchester,Bronx,Entire home/apt
262,135,2,-73.94314,40.68236,67.5,Bedford-Stuyvesant,Brooklyn,Entire home/apt
263,390,5,-73.98246,40.72185,78.0,East Village,Manhattan,Entire home/apt
264,70,3,-73.95385,40.68503,23.333333333333332,Bedford-Stuyvesant,Brooklyn,Private room
266,60,17,-73.95467,40.7069,3.5294117647058822,Williamsburg,Brooklyn,Private room
268,100,3,-73.94339,40.6778,33.333333333333336,Crown Heights,Brooklyn,Private room
269,70,4,-73.94701,40.68317,17.5,Bedford-Stuyvesant,Brooklyn,Private room
271,60,2,-73.95155,40.67586,30.0,Crown Heights,Brooklyn,Private room
272,90,14,-73.99811,40.71702,6.428571428571429,Little Italy,Manhattan,Entire home/apt
273,68,2,-73.98157,40.72321,34.0,East Village,Manhattan,Private room
274,115,2,-73.98098,40.77956,57.5,Upper West Side,Manhattan,Entire home/apt
275,75,5,-73.95264,40.68276,15.0,Bedford-Stuyvesant,Brooklyn,Private room
277,129,7,-73.98158,40.72956,18.428571428571427,East Village,Manhattan,Entire home/apt
278,130,10,-73.95175,40.71069,13.0,Williamsburg,Brooklyn,Entire home/apt
279,95,4,-73.94641,40.70863,23.75,Williamsburg,Brooklyn,Entire home/apt
280,75,3,-73.94307,40.82888,25.0,Harlem,Manhattan,Private room
281,175,2,-73.97323,40.67319,87.5,Park Slope,Brooklyn,Entire home/apt
282,190,3,-73.99443,40.67846,63.333333333333336,Carroll Gardens,Brooklyn,Entire home/apt
283,49,21,-73.94808,40.6715,2.3333333333333335,Crown Heights,Brooklyn,Private room
284,212,3,-73.98534,40.72681,70.66666666666667,East Village,Manhattan,Entire home/apt
285,95,1,-73.99392,40.71904,95.0,Lower East Side,Manhattan,Private room
286,140,2,-73.9583,40.71031,70.0,Williamsburg,Brooklyn,Entire home/apt
287,135,6,-73.95306,40.81322,22.5,Harlem,Manhattan,Entire home/apt
288,150,2,-73.98225,40.67732,75.0,Park Slope,Brooklyn,Entire home/apt
289,190,3,-73.9896,40.68076,63.333333333333336,Gowanus,Brooklyn,Entire home/apt
290,124,28,-73.94903,40.79603,4.428571428571429,East Harlem,Manhattan,Entire home/apt
291,135,30,-73.96282,40.71492,4.5,Williamsburg,Brooklyn,Entire home/apt
292,122,3,-73.95838,40.80393,40.666666666666664,Morningside Heights,Manhattan,Private room
293,109,1,-73.9652,40.80082,109.0,Upper West Side,Manhattan,Private room
294,85,30,-73.94867,40.82976,2.8333333333333335,Harlem,Manhattan,Private room
295,145,3,-73.91981,40.683,48.333333333333336,Bedford-Stuyvesant,Brooklyn,Entire home/apt
296,195,11,-73.9729,40.78971,17.727272727272727,Upper West Side,Manhattan,Entire home/apt
297,250,2,-73.99495,40.67817,125.0,Carroll Gardens,Brooklyn,Entire home/apt
298,125,3,-73.95578,40.73119,41.666666666666664,Greenpoint,Brooklyn,Private room
299,575,2,-73.99627,40.71943,287.5,Little Italy,Manhattan,Entire home/apt
300,150,30,-73.98249,40.78,5.0,Upper West Side,Manhattan,Entire home/apt
301,70,5,-73.91922,40.70514,14.0,Bushwick,Brooklyn,Private room
302,90,2,-73.92811,40.86713,45.0,Inwood,Manhattan,Private room
303,65,3,-73.98881,40.73198,21.666666666666668,East Village,Manhattan,Private room
304,500,2,-73.97986,40.72542,250.0,East Village,Manhattan,Entire home/apt
305,250,3,-73.93869,40.83494,83.33333333333333,Washington Heights,Manhattan,Entire home/apt
306,125,25,-73.98945,40.71659,5.0,Chinatown,Manhattan,Entire home/apt
307,200,30,-74.00243,40.72966,6.666666666666667,West Village,Manhattan,Entire home/apt
308,229,1,-73.95552,40.72898,229.0,Greenpoint,Brooklyn,Entire home/apt
309,90,30,-73.90193,40.87207,3.0,Kingsbridge,Bronx,Entire home/apt
311,59,3,-73.95341,40.72646,19.666666666666668,Greenpoint,Brooklyn,Private room
312,195,4,-73.96101,40.71015,48.75,Williamsburg,Brooklyn,Entire home/apt
313,169,1,-73.9597,40.71903,169.0,Williamsburg,Brooklyn,Entire home/apt
314,113,14,-73.93985,40.80892,8.071428571428571,East Harlem,Manhattan,Entire home/apt
315,250,14,-73.9567,40.80276,17.857142857142858,Harlem,Manhattan,Entire home/apt
316,115,2,-73.93426,40.77635,57.5,Astoria,Queens,Entire home/apt
318,69,2,-73.95763,40.71398,34.5,Williamsburg,Brooklyn,Private room
319,150,3,-73.98394,40.71876,50.0,Lower East Side,Manhattan,Entire home/apt
320,169,2,-73.99019,40.66552,84.5,South Slope,Brooklyn,Entire home/apt
321,179,3,-73.95292,40.73749,59.666666666666664,Greenpoint,Brooklyn,Private room
322,150,3,-73.9913,40.76248,50.0,Hell's Kitchen,Manhattan,Private room
324,350,6,-73.96219,40.6848,58.333333333333336,Clinton Hill,Brooklyn,Entire home/apt
325,120,14,-73.95455,40.70516,8.571428571428571,Williamsburg,Brooklyn,Private room
326,71,2,-73.98486,40.72329,35.5,East Village,Manhattan,Private room
327,349,3,-73.95327,40.73776,116.33333333333333,Greenpoint,Brooklyn,Private room
328,349,3,-73.95482,40.73738,116.33333333333333,Greenpoint,Brooklyn,Private room
329,165,30,-73.98142,40.67542,5.5,Park Slope,Brooklyn,Entire home/apt
330,249,3,-73.95312,40.73842,83.0,Greenpoint,Brooklyn,Private room
332,200,3,-73.99771,40.69441,66.66666666666667,Brooklyn Heights,Brooklyn,Entire home/apt
333,169,4,-73.98374,40.72399,42.25,East Village,Manhattan,Entire home/apt
334,185,3,-73.94615,40.6824,61.666666666666664,Bedford-Stuyvesant,Brooklyn,Entire home/apt
335,65,2,-73.91708,40.68949,32.5,Bushwick,Brooklyn,Entire home/apt
336,130,35,-73.97258,40.68819,3.7142857142857144,Fort Greene,Brooklyn,Entire home/apt
337,199,30,-73.96015,40.7205,6.633333333333334,Williamsburg,Brooklyn,Entire home/apt
339,179,3,-73.95394,40.73813,59.666666666666664,Greenpoint,Brooklyn,Private room
341,139,1,-73.98895,40.72843,139.0,East Village,Manhattan,Entire home/apt
342,95,3,-73.99776,40.71271,31.666666666666668,Two Bridges,Manhattan,Private room
343,79,15,-73.94735,40.66966,5.266666666666667,Crown Heights,Brooklyn,Entire home/apt
344,150,2,-73.98766,40.71965,75.0,Lower East Side,Manhattan,Entire home/apt
346,90,3,-73.94911,40.68048,30.0,Bedford-Stuyvesant,Brooklyn,Entire home/apt
347,120,2,-73.93963,40.68314,60.0,Bedford-Stuyvesant,Brooklyn,Entire home/apt
348,80,1,-73.91117,40.75961,80.0,Astoria,Queens,Private room
350,175,2,-73.93185,40.69305,87.5,Bedford-Stuyvesant,Brooklyn,Entire home/apt
351,120,5,-73.95663,40.67174,24.0,Crown Heights,Brooklyn,Entire home/apt
353,200,5,-73.95458,40.69465,40.0,Bedford-Stuyvesant,Brooklyn,Entire home/apt
354,165,4,-73.96542,40.68413,41.25,Clinton Hill,Brooklyn,Private room
355,125,4,-73.97707,40.73877,31.25,Kips Bay,Manhattan,Entire home/apt
356,130,30,-73.99544,40.74893,4.333333333333333,Chelsea,Manhattan,Entire home/apt
358,123,30,-73.97332,40.68795,4.1,Fort Greene,Brooklyn,Entire home/apt
359,67,2,-73.93361,40.85295,33.5,Washington Heights,Manhattan,Private room
361,130,7,-73.99187,40.66918,18.571428571428573,Gowanus,Brooklyn,Entire home/apt
363,212,21,-73.9696,40.78558,10.095238095238095,Upper West Side,Manhattan,Entire home/apt
364,190,3,-73.96053,40.71577,63.333333333333336,Williamsburg,Brooklyn,Entire home/apt
365,599,3,-73.95485,40.73861,199.66666666666666,Greenpoint,Brooklyn,Private room
366,249,5,-73.98745,40.72577,49.8,East Village,Manhattan,Entire home/apt
367,70,27,-73.81245,40.58615,2.5925925925925926,Rockaway Beach,Queens,Private room
368,100,30,-73.94872,40.67086,3.3333333333333335,Crown Heights,Brooklyn,Entire home/apt
369,60,3,-73.95231,40.82773,20.0,Harlem,Manhattan,Private room
370,135,2,-73.95684,40.68505,67.5,Bedford-Stuyvesant,Brooklyn,Entire home/apt
371,175,3,-73.95493,40.72911,58.333333333333336,Greenpoint,Brooklyn,Entire home/apt
372,120,5,-73.98567,40.77944,24.0,Upper West Side,Manhattan,Entire home/apt
373,169,18,-73.98876,40.74503,9.38888888888889,Midtown,Manhattan,Entire home/apt
374,165,7,-73.96093,40.67539,23.571428571428573,Crown Heights,Brooklyn,Entire home/apt
376,225,2,-73.9508,40.78491,112.5,Upper East Side,Manhattan,Entire home/apt
377,95,2,-73.97307,40.69088,47.5,Fort Greene,Brooklyn,Private room
378,55,2,-73.95057,40.67555,27.5,Crown Heights,Brooklyn,Private room
379,85,10,-73.99193,40.75835,8.5,Hell's Kitchen,Manhattan,Private room
380,199,14,-73.9886,40.66527,14.214285714285714,South Slope,Brooklyn,Entire home/apt
381,211,1,-73.99434,40.71895,211.0,Lower East Side,Manhattan,Entire home/apt
383,65,14,-73.95328,40.82399,4.642857142857143,Harlem,Manhattan,Private room
384,99,1,-73.94095,40.81822,99.0,Harlem,Manhattan,Entire home/apt
385,110,4,-73.92132,40.76434,27.5,Astoria,Queens,Entire home/apt
386,80,3,-73.94925,40.67705,26.666666666666668,Crown Heights,Brooklyn,Entire home/apt
387,150,30,-73.99438,40.69263,5.0,Brooklyn Heights,Brooklyn,Entire home/apt
